minwon_title,minwon_content,minwon_type,minwon_department
 사근동왕십리역 간 버스 증설 요청, 사근동에서 이용하는 기존 노선인 번 버스의 평균배차 간격은 분이며 이마저도 교통체증이 있을때엔 분으로 증가하기도 합니다 사근동에서 왕십리역으로 운행하는 대중교통이 번 버스 딱 하나로 유일한데도 지독한 배차간격때문에 특히 출퇴근 등하교 시간에는 불편이 이만저만이 아닙니다 이에 해당구간 간 버스노선 증설 또는 출퇴근시간시시 시 만이라도 기존버스의 운행빈도 증가를 요청합니다,  연계처리내역    민원상세보기원본 추천기관  서울특별시 이송추천사유  시내버스 배차 관련으로 소관부서로 이송요청합니다  담당자김수정 연락처 처리상태  이송이첩 아래 답변이 안보일 경우 위의  민원상세보기원본을 클릭하여 확인해 주시기 바랍니다  연계된 기관에서 처리한 내용으로 궁금하신 사항은 해당 기관으로 문의해야 합니다     ,이송이첩/다부처병렬
 취수과에  확답요망, 수고하십니다옆집의 오수관  하수도 배관시설  관련법이 없으므로 사용허가 승인을 해 준다라는 뜻이 맞습니까앞으로  오수배관 하수도 사진처럼  옆집 담장 밑에 바짝 붙여지어도 된다 이뜻이죠맞습니다  아니다로 답변해 주시기를 부탁드립니다감사합니다수고십시오 첨부파일   ,안전건설교통국 치수과,안전건설교통국
 내용 중 철자가 틀린 표지판을 수정해 주세요, 구정에 얼마나 노고가 많으십니까성동구청 북측에서 지하로 진입하는 주차장 입구에 별첨 사진과 같이 성동구 전기차 중천 공영주차장 안내판이 설치되어 있는데요 여기에 병기된 영어 단어 철자가 틀렸기에 알려드리오니 수정해 주시기 바랍니다수정해야 할 내용 이라는 단어가 으로 수정되어야 함 안내판에 내용이 잘못 기재되면 그 단어를 읽게될 당사자외국인 등 뿐 아니라 이 곳을 지나치는 무수히 많은 우리 국민특히 자라나는 학생들에게도 적지 않은 악영향을 미칠 수 있으므로 그 중요성이 적지 않다 하겠습니다 부디 지나치지 말고 바로 잡아 주시기 바라며 비록 일일이 민원을 제기하지 않았지만 다른 곳에도 이와 유사한 사례가 있다면 선제적으로 수정해 주시길 바랍니다 첨부파일   ,행정관리국 총무과,행정관리국
 서울시 장애인치과병원 앞 도로, 안녕하세요성동구에 위치한 장애인치과병원에서 장애인들을 위해 많은 선생님께서 애써주시는 노고에 감사드립니다다만 수동 휠체어를 이용하시는 분들 다리가 불편한 어르신들이 드나드는 곳인데 건물 밖 도로 경사가 꽤 가파른 것 같습니다 주차장도 꽤 협소하여 휠체어를 이용해서 내리셔야 하는 분들한테는 자리가 충분하지 않은 것 같습니다 무엇보다 도로 경사는 어떻게 조치를 취해야할 것 같은데 달리 방법이 없을지요감사합니다,안전건설교통국 토목과,안전건설교통국
 횡단보도옆 나무로 인하여 보행자 확인이 어렵습니다, 안녕하세요 주행중 보행자 확인이 어려워 민원을 접수합니다논골사거리에서 금호사거리 방향으로 내리막길을 내려가다보면성동구 공동육아나눔터가 있는 사거리가 있습니다 사거리에서 우회전하여 신금호역방향으로 가랴고 하면 우회전시 왼쪽에 보행자가 횡단보도를 건너면 서잇는 자리에낮은 나무가 있습니다 나무를 주기적으로 잘라는 주시는것 같으나 내리막길에서 낮은 나무에 가려져 서있는 보행자가 확인이 어렵습니다잘라주긴 높이에서도 보행자 확인이 어렵고조금만 자라도 사람이 보이지 않습니다다니다보면 금호고등학교 학생들도 횡단보도를 많이 이용하는것 같은대요조정이 가능하다면 보행자 확인이 잘 될수있도록 부탁드립니다상세 위치와 해당나무 사진은 첨부로 올립니다감사합니다 첨부파일    ,도시관리국 공원녹지과,도시관리국
 서울숲삼부아파트상가 뉴파인학원 앞에 도로변은 어린이보호구역 지정이 가능한가요, 학원골프장 주차장앞 도로변은 어린이보호구역 지정이 가능한지요오토바이 폭주 및 차량이 해당도로변에서 과속을하는 장면이 자주 발생합니다학원이 초등학생중학생이 다니는 학원인지라 조금만 방심하면 큰 사고가 날수도있는 도로변이라어린이 보호구역으로 지정이되면 속도규정도 생기고 관리가 될거같아서 가능한지 문의드립니다,안전건설교통국 교통행정과,안전건설교통국
 서울숲대림 아파트 옆 공사현장 진동, 서울숲대림 아파트 동과  경일초등학교 사이에 공사현장이 있습니다 서울 성동구 뚝섬로 이곳이 공사를 하면 서울숲대림 아파트 동에서 진동이 심하게 느껴집니다 거실에 앉아있는데 지진이 난 줄 알았네요요즘 사회적 참사로 인하여 안전에 대한 경각심이 높아지고 있습니다 꼭 철저히 대비하고 조사하여 주시기를 부탁드립니다본인은 현재 건설 전문 변호사로 근무하고 있습니다 단순 진동에 해당하는지 향후 불상사가 없도록 반드시 철저히 조사 부탁드립니다,스마트포용도시국 맑은환경과,스마트포용도시국
 늦장 업무처리미수신 사항해결하겠다는 피드백 이후의 또 부과된 세금, 년 성동구청 세금징수팀 방문하여 기존 미납된 지방소득세등 고지서 발부받음년 방문시 년부터 서정일 본인 교통사고로 인하여 년이상 입원하였고 치료중으로 자택 비어있었음 전달자동차검사 및 보험료 관련하여 년 폐차 진행한 부분 토로하였고 날짜 확인 후 처리해주겠다고 피드백함이에 따른 필히 납부해야 할 고지서만 챙겨서 귀가 하였음성동구청측 정황상 중간에 한달미만의 기간동안 처리하기 어려웠던 부분 인정하였음년이나 지난 지금 또 다시 자동차검사 및 보험료에 관한 고지서를 또 발부한 부분 내부 소통이 어떻게 됬길래  이제와서 또 다시 부과시키며 해당건으로 연락받은 바 없음 연락한 이력 전부 확인시켜주셔야 납득 할  예정임년 당시 구청에서 응대한 직원 총 명 남자분이었고 차로 말이 안통하여 다리가 조금 불편하신분이 마무리 응대해주셨고  다 정리된 부분으로 인지하고 귀가하였음정확한 년동안의 히스토리 및 결과부분 충분히 납득시켜주길 바라며 이번에도 우야무야 넘어가지 않을 작정임인수인계 소통 부재같은 내부 사유로 이 부분은 언급 안했으면 하고 빠른 확인 바랍니다 이쪽으로 연락바랍니다 첨부파일     ,기획재정국 세무과,이송이첩/다부처병렬
 한강변 산책로에  설치 부탁드립니다, 안녕하세요 늘 수고에 감사드립니다한강 산책로에 방범용  설치를 건의드리고자 작성하게 되었습니다용비교에서 금호나들목으로 가는 구간은 가로등이 나무에 가려져 밤에 매우 어둡습니다 이 길을 산책하던 도중 경찰서에서 붙인 것으로 추정되는 중랑천변 산책로 폭행사건 목격자를 찾는다는 현수막을 보고 나에게도 일어날 수 있는 일이라는 공포감이 든 적 있습니다 만약 사람들이 없는 시간 특히 밤에 혼자 산책하다 범죄에 휘말린다면 아무도 구제해줄 수 없는 것 아닙니까한강공원에는 구조물의 특성 때문에 사생활 보호 등을 이유로 가 없다고 생각할 수 있지만 한강공원은 법적으로 공개된 장소에 해당하며 개인정보보호법 제조 제항의 예외사항에 따라 를 설치할 수 있을 것 이라는 답변이 있었습니다물론 예산을 따로 편성해야 하겠지만 충분히 가치있는 일로 믿어 의심치 않습니다 요새 용비교 근처에 꽃 많이 심으시던데 경관도 중요하지만 치안이 가장 중요하다고 생각합니다 소 잃고 외양간 고치는 일이 일어나지 않게 성동구 행정의 힘을 보여주시기 바랍니다본론으로 돌아가 건의사항 가지 말씀드리겠습니다 성동구의 한강변 자전거도로 및 산책로에 방범용  설치를 부탁드립니다 전체 설치가 불가하다면 한양대역금호나들목 구간이라도 꼭 설치 고려해 주십시오 특히 용비교금호나들목은 가로등이 나무에 가려져서 밤에 매우 어둡고 위험하다고 느껴집니다 최근 해당 구간에 산책로 정비공사를 하고 계시던데 그 산책로에도 몇 개 설치해주신다면 그 길을 걷는 시민들은 정말 안전하다는 느낌을 받을 것입니다 응봉역에서 나와 응봉산 가는 길로 길게 직진하는 구간에 광희중 응봉초 뒷편고산자로을 지날 때 가 단 하나도 존재하지 않아 지나갈 때마다 너무 공포스럽습니다 빗물펌프장이 있었던 곳 옆에는 방범가 달려 있지만 직진하는 구간에는응봉역 옆을 따라 직진하는 부분 중간에 가 하나도 없습니다 이 구간 또한 단 한 대만이라도 설치 부탁드립니다목적 및 기대효과 말씀드리겠습니다 가장 먼저 범죄예방의 효과가 있을 것이며 치안 좋은 성동구를 만들 수 있을 것입니다 늘 정책 등 여러 면에서 성동구가 최초 타이틀이나 선도적인 위치를 차지하는 것을 보았습니다 년 기준 서울 지역의 한강 공원에 설치된 는 개에 불과하다고 합니다 최초로 본격적인 한강변  설치를 진행하여 세심함을 보여주십시오 반포한강 대학생실종사건때 가 없어 수사에 난항을 겪은 일이 성동구에서도 일어나지 않게끔 방지할 수 있으며 일어나서는 안되겠으나 길가다가 묻지마 폭행이나 자전거 충돌사고가 발생한다면 자료로 쓸 수 있을 것입니다 성동구가 여성친화도시 단계에 선정되는 등 여성안전에 만전을 기하고 있다는 것을 알고있습니다 이에 한강변 산책로  설치는 여성 뿐만아니라 남녀노소 모든 시민들이 마음놓고 산책할 수 있다고 하는 것이니 지역사회 발전에 큰 힘이 될 것으로 생각됩니다 모든 일에는 세심한 행정 그리고 사건이 터지기 전에 미리미리 대비하는 것이 가장 중요하다는 게 요즘 피부로 느껴지고 있습니다 부디 모든 성동구민의 안전을 위해 충분한 고려 부탁드립니다,스마트포용도시국 정보통신과,스마트포용도시국
 다시 한번 문의 드립니다 거주자 주차, 성동구에 년 거주하고 있는 구민입니다어제 거주자 주차 문의 드렸는데 아직 연락이 없어서 다시 문의 남깁니다성수가동  구역대기전환 상태인데 사진에서 보시면 아시겠지만 주야간에 자리가 저렇게 남는데집 앞인데도 불구하고 주차를 할 수 없다면 어떻게 해야 할 지 납득이 되지 않습니다거주자가 거주자에 주차 할 수 없는 상황이 이해가 안됩니다다른곳에 주차를 할 수도 없는 상황인지라 난감합니다빠른 답변 부탁드립니다 첨부파일   크기변환크기변환 크기변환크기변환,안전건설교통국 교통지도과,안전건설교통국
 홍익동 번지 공사, 홍익동 번지에서 공사하는것으로 인해 집이 자꾸 흔들립니다크게 흔들리진않지만 계속 반복되는데 안전한건지 의심이듭니다지속적 체크 해주세요,스마트포용도시국 맑은환경과,스마트포용도시국
 거주자 주차가 현재 불가능하다는데, 현재  성수가동 거주자 신청 해뒀는데밤낮으로 비어있는 자리가 많은데 대기하라고 답변 받아서요오늘 당장부터 주차를 해야 하는데 저는 어디에 주차를 해야 할까요점수도 점으로 낮은 점수가 아닌데 대기를 해야 한다는게 이해가 되지 않습니다빠른 답변 부탁드립니다,안전건설교통국 교통지도과,안전건설교통국
 한국말 못 알아듣는 중앙일보, 안녕하십니까중앙일보 신문 구독하거나 신청하지도 않았는데 자꾸만  오네요제가 콜센터에 전화를 했습니다신청한 적 없다고  치과를 운영하는 치과도 아니고 주소는 맞으나  치과는 아니다여타 여러가지 설명도 했습니다그랬더니  알았다라고 하더군요그래도 미심쩍은지라   무려 세번째 확인 차 콜센터에 신신당부를 하고 아니다 라고 하고 콜센터에서는 알았으니  신문을 배달하지 아니하겠다 라고 확답까지 받았습니다그러더니만  한동안 신문이 진짜로 오지 않았고 다시는 배달되지 아니하였습니다사람 속을 끓이기까지 죄송하다라는 사과문 하나없이다시 또 저희집에 신문을 보내고 있습니다오늘 아침에 또 온 걸 사진을 첨부하였습니다다시 말씀 드리는데 신문신청 한 적이 없습니다의심스러우시면  콜센터로 들어 온 녹취를 까 보시고 누가 그랬는지 장난친 진범을 잡으시길 바라겠습니다한국말 못 알아듣는  중앙일보  드럽게 귀찮게 구네요한두번이 아닙니다이런식으로 사람을 여러번 괴롭히는 이유가 도대체 뭐요 첨부파일   ,  연계처리내역    민원상세보기원본 추천기관  공정거래위원회 이송추천사유  신문구독 관련으로 소관부서로 이송요청합니다  담당자김수정 연락처 처리상태  이송이첩 아래 답변이 안보일 경우 위의  민원상세보기원본을 클릭하여 확인해 주시기 바랍니다  연계된 기관에서 처리한 내용으로 궁금하신 사항은 해당 기관으로 문의해야 합니다     ,이송이첩/다부처병렬
 행당역 한진상가 옥상 실외기 소음 문제  네번째 민원 , 안녕하세요 동일 민원 네번째 올립니다행당역 한진 상가 옥상의 실외기 소음으로 밤마다 고통스럽습니다 정말 심각한데요저희가 왜 이런 고통을 받아야 하는지 이해가 안 갑니다월 초에 수리를 위해 입찰공고를 냈다고 하셨는데 현재 어떻게 진행되고 있는 건지 궁금합니다제발 좀 서둘러 수리를 진행했으면 좋겠습니다대림 상가와 같이 벽으로 실외기를 막아 주시기 바랍니다제발 이웃 아파트 단지에게 피해 주는 것을 멈춰 주시기 바랍니다제발좀요 정말 모든 걸 걸고 부탁드립니다 반드시 해결이 되어야 하는 문제입니다감사합니다,스마트포용도시국 맑은환경과,스마트포용도시국
 건물 출입구 옆 흡연으로 인한 간접흡연 피해, 안녕하세요 성동구 금호로  건물과 금호로  건물 사이 골목길 중간에 건물들 출입구가 있는데요식당 이용자 등 많은 분들이 문 옆에서 담배를 펴서 건물 안까지 담배냄새가 들어오고 출입구로 왔다갔다 하는 동안 담배연기 때문에 너무 힘듭니다 건물 외벽에 붙일 수 있는 간접흡연 때문에 너무 힘드니 출입구 옆에서 흡연하지 말아달라는 내용의 스티커가 있다고 들었는데 혹시 좀 받아서 붙일 수 있을까요감사합니다,보건소 건강관리과,보건소
 신금호역  마을버스 정류장  고장, 성동구 금호가동 신금호역   마을버스 정류장회차지점 기기가 고장나 구민들이 승차대기 시 시간을 예측할 수 없어 불편을 겪고 있으니  조속히 정비하여 주시기 바랍니다,  연계처리내역    민원상세보기원본 추천기관  서울특별시 이송추천사유  마을버스  유지보수 민원 담당자이관홍 연락처 처리상태  이송이첩 아래 답변이 안보일 경우 위의  민원상세보기원본을 클릭하여 확인해 주시기 바랍니다  연계된 기관에서 처리한 내용으로 궁금하신 사항은 해당 기관으로 문의해야 합니다     ,이송이첩/다부처병렬
 전봇대에 두꺼비집 전기계량기, 안녕하십니까저희 집 바로 옆의 전신주 다름아닌 전봇대에는 지금 바로 옆집의 신축건물 공사로 임시 두꺼비집 전기 계량기가 바로 문앞 옆의 전신주즉 전봇대에 설치가 되어있습니다공사가 마무리 되면 그쪽 집으로 신속히 최대한 빨리 옮겨 주시면 감사하겠습니다감사합니다수고하십시오 첨부파일   ,  연계처리내역    민원상세보기원본 추천기관  한국전력공사 이송추천사유  전봇대 관련으로 이송요청합니다  담당자김수정 연락처 처리상태  이송이첩 아래 답변이 안보일 경우 위의  민원상세보기원본을 클릭하여 확인해 주시기 바랍니다  연계된 기관에서 처리한 내용으로 궁금하신 사항은 해당 기관으로 문의해야 합니다     ,이송이첩/다부처병렬
 정원오 구청장님 아이들의 등하교길 안전을 확보해주세요, 뚝섬역번 출구앞 건물 공사가 지금 년반째 진행되고있습니다공사하는 부분이라 저도 아이들과 지나다니며 참고 지내고있습니다매번 아이들이 인도 없는 길을 다닐때마다 가슴이 철렁합니다옆으로는 도로라 아이들이 늘 쌩쌩다니는 자동차와 뒤엉켜 함께 다닙니다시멘트 작업을 하는 큰 트럭이 있을 경우만 안전요원이 나와 길을 안내할뿐평상시에는 그냥 건축물 폐기물과 재료들이 그냥 아이들이 안전하게지나다닐 공간에 널부러진채 다칠 위험요소가 너무 많고 실제로 넘어지기도 합니다이제 공사가 막바지에 이른거 같은데 공사가 끝날때까지 아침 등원시간 시시하원시간 시시 까지는 최소한의 안전요원을 배치해 주셨으면합니다초등학생인 아이들이 맞벌이인 집이 대부분이라 혼자 위험하게걸어다니는데 정말 큰사고 날거같습니다끝까지 공사가 완료될때 까지 길을 확보해주시고 여건이 어렵다면안전요원 등하교길에 배치부탁드립니다이태원 사태도 작은것에 안전을 기울였다면 절대 큰사태로 이어지지 않았을 겁니다작은 아이들의 안전도 어른들의 무관심에큰위험으로 이어질수 있으니 보호자로서 다른아이도내아이와 같은 마음으로 간곡히 해결부탁드립니다 첨부파일    ,도시관리국 건축과,도시관리국
 응봉역 번 출구 주변 흡연 단속 요청, 노고가 많으십니다 응봉교 하부 번 교각부터 응봉역 번 출구 및 뒷편 엘리베이터 근처까지 매일 아침마다  경 거의 고정적으로 흡연을 하는 사람들이 있어 출근하려고 응봉역으로 갈 때 마다 간접흡연에 시달리고 있습니다 해당 인도 및 교각에는 금연구역 상습흡연 민원다발지역 등 지자체에서 부착한 표시가 되어있음에도 불구하고 아침에는 단속 공무원이 없다는 점을 이용하여 무분별하게 불법흡연을 자행하는 것 같습니다 이에 근시일 내 최소 회 정도라도 아침시간 단속을 한다면 상기와 같은 고정흡연자가 없어 질 것으로 기대되며 출근길 또는 중랑천 아침운동 주민들이 보다 쾌적하고 건강하게 하루를 시작할 수 있을 것 같습니다 감사합니다,보건소 건강관리과,보건소
 옆집이 설치한 수도와 계량기, 안녕하세요옆집이 정화조와 수도계량기 설치를 이웃집과의 경계선 설치기준을 싹다 무시하고 아랫 사진과 똑같이 설치를 했습니다저희집 담의 벽의 하단 부분이 침범해 온 현장사진을 실제로 찍어서 올립니다이에 성동구청에 민원을 올리고 이의를 제기합니다 첨부파일    ,도시관리국 건축과,도시관리국
 가정집앞에 쓰레기 불법투기, 저희집앞에 쓰레기 불법 투기 하는 분들 모조리 잡아다가처벌 해주세요 ㅠㅠ 제발쓰레기 버리지 말라고 붙여놔도 떼서 버리는건지 며칠을 못가서 사라지네요음식물재활용일반쓰레기 다 갖다버리고 있습니다처음에 한두개쯤이야 제가 치웠지만 정말 시민의식이 이렇게 없는 동네인지는몰랐어요 투기도 새벽에 하는건지 회사에 있을때 하는건지 잡을수도 없고골목에 쓰레기 무단투기 특별단속구역이라고 구청에서 붙여놨던데정말 특별 단속하고 있는게 맞나요  냄새나는 쓰레기 다 뒤집어 씌고 혹시 단서라도 잡을게 있나 찾아본게 한두번이 아닙니다단속 강화라던지 씨씨티비 설치라던지 골목에 쓰레기 배출장소 따로 만들어주세요 제발 첨부파일   ,복지국 청소행정과,복지국
